Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Hamstrings Cat-Cow,Hamstrings,6-13 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Bridge,Full Body,14-19 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Row,Legs,15-13 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Cycle,Quadriceps,9-15 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Ankle Mobility,Full Body,15-12 kcal/min,Rehab,Resistance Band,"This is a rehab exercise that primarily targets the full body. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Pilates Move,Quadriceps,15-20 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Clamshell,Quadriceps,5-17 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Sit-Up,Quadriceps,14-18 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Swing,Glutes,9-20 kcal/min,Power,None,"This is a power exercise that primarily targets the glutes. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Heel Raise,Core,14-11 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the core. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Wall Slide,Shoulders,3-14 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Run,Mobility/Stretch,5-12 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Roll,Calves,4-13 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch V-Up,Mobility/Stretch,11-19 kcal/min,Core,Machine,"This is a core exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Burpees,Back,10-12 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the back. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Swing,Glutes,14-19 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Burpees,Mobility/Stretch,15-14 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Russian Twist,Mobility/Stretch,13-14 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Raise,Shoulders,10-17 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Step-Up,Calves,10-17 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Hip Flexor Stretch,Back,9-11 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the back. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Yoga Flow,Full Body,12-14 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Pose,Mobility/Stretch,8-11 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Cycle,Quadriceps,10-17 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Sprint,Full Body,9-11 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Leg Raise,Core,15-19 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Scapular Retraction,Triceps,9-12 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Fly,Calves,7-17 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the calves. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Russian Twist,Quadriceps,9-17 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the quadriceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Jump Rope,Full Body,10-19 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Push Press,Triceps,12-17 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the triceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Pull,Full Body,12-18 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
